recordNumber,scientificName
1,Micronia aculeata
2,Nepita conferta
3,Dysphania percota
4,Spoladea recurvalis
5,Syntomoides imaon
6,Euchromia polymena
7,Erebus hieroglyphica
8,Erebus ephesperis
9,Amata passalis
10,Eurrhyparodes bracteolalis
11,Eumelea ludovicata
12,Asota caricae
13,Xanthodes transversa
14,Mocis undata
15,Pergesa acteus
16,Hyposidra talaca
17,Eudocima materna
18,Polytela gloriosae
19,Diaphania indica
20,Pangora matherana
21,Episteme maculatrix
22,Scopula opicata
23,Attacus taprobanis
24,Nyctemera coleta
25,Macrobrochis gigas
26,Eligma narcissus
27,Daphnis nerii
28,Parapoynx stagnalis
29,Eudocima homaena
30,Cnaphalocrocis poeyalis
31,Bocchoris inspersalis
32,Glyphodes bicolor
33,Spodoptera litura
34,Sameodes cancellalis
35,Erebus macrops
36,Creatonotos transiens
37,Aethaloessa calidalis
38,Thyas coronata
39,Tetragonus catamitus
40,Mocis frugalis
41,Pareuchaetes pseudoinsulata
42,Ammatho cuneonotatus
43,Trabala vishnou
44,Theretra lucasii
45,Metoeca foedalis
46,Episteme adulatrix
47,Hulodes caranea
48,Haritalodes derogata
49,Eudocima hypermnestra
50,Phalacra vidhisara
51,Cyana peregrina
52,Agathia laetata
53,Actias selene
54,Glyphodes caesalis
55,Theretra nessus
56,Chiasmia nora
57,Chalciope mygdon
58,Lymantria ampla
59,Cyclothea disjuncta
60,Theretra silhetensis
61,Maruca vitrata
62,Glyphodes bivitralis
63,Ganisa postica
64,Trigonodes hyppasia
65,Cnaphalocrocis medinalis
66,Borbacha pardaria
67,Anomis flava
68,Tricyanaula aurantiaca
69,Syngamia latimarginalis
70,Oraesia emarginata
71,Nausinoe perspectata
72,Ercheia cyllaria
73,Bastilla joviana
74,Anticarsia irrorata
75,Acherontia lachesis
76,Pseudomicronia advocataria
77,Parapoynx fluctuosalis
78,Cyclosia latipennis
79,Artena submira
80,Zurobata vacillans
81,Striglina scitaria
82,Scopula addictaria
83,Ravanoa xiphialis
84,Pygospila tyres
85,Progonia oileusalis
86,Olene mendosa
87,Naxa textilis
88,Nausinoe geometralis
89,Maliattha separata
90,Ischyja marapok
91,Hyperythra lutea
92,Hydriris ornatalis
93,Curoba sangarida
94,Artena dotata
95,Agathia hemithearia
96,Achaea janata
97,Pyrausta phoenicealis
98,Pyralis manihotalis
99,Petelia medardaria
100,Nymphicula trimacula
101,Hippotion rosetta
102,Chiasmia emersaria
103,Anisephyra ocularia
104,Xanthorhoe saturata
105,Parapholodes fuliginea
106,Orvasca subnotata
107,Nacoleia charesalis
108,Mangina argus
109,Leucania yu
110,Eudocima phalonia
111,Erebus caprimulgus
112,Cyana puella
113,Bocana manifestalis
114,Bastilla simillima
115,Bastilla crameri
116,Asota plana
117,Asota canaraica
118,Aporandria specularia
119,Traminda aventiaria
120,Scopula fibulata
121,Nyctemera lacticinia
122,Miresa argentifera
123,Marumba dyras
124,Hymenia perspectalis
125,Eumelea rosalia
126,Endotricha mesenterialis
127,Egnasia ephyrodalis
128,Earias cupreoviridis
129,Brunia antica
130,Rajendra biguttata
131,Poliobotys ablactalis
132,Pharambara splendida
133,Omiodes diemenalis
134,Nodaria externalis
135,Eudocima cajeta
136,Dysgonia stuposa
137,Cyclodes omma
138,Comostola laesaria
139,Biston suppressaria
140,Bastilla fulvotaenia
141,Amata cyssea
142,Sphrageidus similis
143,Scopula emissaria
144,Patania iopasalis
145,Omiodes indicata
146,Maliattha signifera
