recordNumber ,scientificName,commonName,taxonID,superFamily,family,subFamily,tribe,subTribe,genus
1,Micronia aculeata,Grey Swallowtail Moth,145630,Geometroidea,Uraniidae,Microniinae,,,Micronia
2,Nepita conferta,,143776,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Nudariina,Nepita
3,Dysphania percota,Blue Tiger Moth,319698,Geometroidea,Geometridae,Geometrinae,Dysphaniini,,Dysphania
4,Spoladea recurvalis,Hawaiian Beet Webworm Moth,52043,Pyraloidea,Crambidae,Spilomelinae,Hymeniini,,Spoladea
5,Syntomoides imaon,Handmaiden Moth,122956,Noctuoidea,Erebidae,Arctiinae,Syntomini,,Syntomoides
6,Euchromia polymena,Painted Handmaiden Moth,52090,Noctuoidea,Erebidae,Arctiinae,Arctiini,Euchromiina,Euchromia
7,Erebus hieroglyphica,Tropical Owl,203994,Noctuoidea,Erebidae,Erebinae,Erebini,,Erebus
8,Erebus ephesperis,Smiling Face Moth,122957,Noctuoidea,Erebidae,Erebinae,Erebini,,Erebus
9,Amata passalis,sandalwood defoliator,332480,Noctuoidea,Erebidae,Arctiinae,Syntomini,,Amata
10,Eurrhyparodes bracteolalis,Yellow Blotched Pearl Moth,199439,Pyraloidea,Crambidae,Spilomelinae,Herpetogrammatini,,Eurrhyparodes
11,Eumelea ludovicata,Orpiment Moth,199156,Geometroidea,Geometridae,Desmobathrinae,,,Eumelea
12,Asota caricae,Tropical Tiger Moth,52086,Noctuoidea,Erebidae,Aganainae,,,Asota
13,Xanthodes transversa,Transverse moth,153452,Noctuoidea,Noctuidae,Bagisarinae,,,Xanthodes
14,Mocis undata,Brown-striped Semilooper,52034,Noctuoidea,Erebidae,Erebinae,Euclidiini,,Mocis
15,Pergesa acteus,Green Pergesa Hawkmoth,322014,Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,Choerocampina,Pergesa
16,Hyposidra talaca,Black Looper,196588,Geometroidea,Geometridae,Ennominae,Boarmiini,,Hyposidra
17,Eudocima materna,Dot-underwing Moth,319809,Noctuoidea,Erebidae,Calpinae,Ophiderini,,Eudocima
18,Polytela gloriosae,Indian Lily Moth,205591,Noctuoidea,Noctuidae,Noctuinae,Glottulini,,Polytela
