serial_number,species_name
1,Micronia aculeata
2,Dysphania percota
3,Nepita conferta
4,Spoladea recurvalis
5,Erebus hieroglyphica
6,Euchromia polymena
7,Erebus ephesperis
8,Syntomoides imaon
9,Amata passalis
10,Asota caricae
11,Eumelea ludovicata
12,Mocis undata
13,Diaphania indica
14,Pergesa acteus
15,Hyposidra talaca
16,Polytela gloriosae
17,Eurrhyparodes bracteolalis
18,Scopula opicata
19,Attacus taprobanis
20,Eudocima materna
21,Xanthodes transversa
22,Eligma narcissus
23,Nyctemera coleta
24,Daphnis nerii
25,Eudocima homaena
26,Pangora matherana
27,Erebus macrops
28,Creatonotos transiens
29,Macrobrochis gigas
30,Mocis frugalis
31,Tetragonus catamitus
32,Cnaphalocrocis poeyalis
33,Glyphodes bicolor
34,Thyas coronata
35,Trabala vishnou
36,Aethaloessa calidalis
37,Actias selene
38,Eudocima hypermnestra
39,Sameodes cancellalis
40,Spodoptera litura
41,Bocchoris inspersalis
42,Cyana peregrina
43,Hulodes caranea
44,Ammatho cuneonotatus
45,Chalciope mygdon
46,Haritalodes derogata
47,Phalacra vidhisara
48,Agathia laetata
49,Metoeca foedalis
50,Parapoynx stagnalis
51,Theretra nessus
52,Lymantria ampla
53,Maruca vitrata
54,Theretra silhetensis
55,Cyclothea disjuncta
56,Episteme maculatrix
57,Trigonodes hyppasia
58,Anticarsia irrorata
59,Glyphodes caesalis
60,Tricyanaula aurantiaca
61,Borbacha pardaria
62,Cnaphalocrocis medinalis
63,Pseudomicronia advocataria
64,Anomis flava
65,Hyperythra lutea
66,Nausinoe perspectata
67,Naxa textilis
68,Olene mendosa
69,Pareuchaetes pseudoinsulata
70,Scopula addictaria
71,Achaea janata
72,Agathia hemithearia
73,Anisephyra ocularia
74,Bastilla joviana
75,Glyphodes bivitralis
76,Nausinoe geometralis
77,Pygospila tyres
78,Zurobata vacillans
79,Asota plana
80,Creatonotos gangis
81,Curoba sangarida
82,Cyana puella
83,Episteme adulatrix
84,Erebus caprimulgus
85,Ganisa postica
86,Hydriris ornatalis
87,Xanthorhoe saturata
88,Aporandria specularia
89,Artena submira
90,Bastilla crameri
91,Bastilla simillima
92,Cyclosia latipennis
93,Earias cupreoviridis
94,Endotricha mesenterialis
95,Ischyja marapok
96,Nyctemera lacticinia
97,Oraesia emarginata
98,Orvasca subnotata
99,Parapholodes fuliginea
100,Pyralis manihotalis
101,Pyrausta phoenicealis
102,Scopula fibulata
103,Syngamia latimarginalis
104,Brunia antica
105,Comostola laesaria
106,Egnasia ephyrodalis
107,Eudocima phalonia
108,Hippotion rosetta
109,Mangina argus
110,Parapoynx fluctuosalis
111,Petelia medardaria
112,Poliobotys ablactalis
113,Acherontia lachesis
114,Artaxa guttata
115,Chiasmia emersaria
116,Eudocima cajeta
117,Eupanacra busiris
118,Filodes fulvidorsalis
119,Maliattha separata
120,Marumba dyras
121,Omiodes diemenalis
122,Omiodes indicata
123,Ravanoa xiphialis
124,Sphrageidus similis
125,Striglina scitaria
